RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR,Year
163,163,Jeff Maggert,54,11.54,12,104,+0.08,2014
164,164,Luke Donald,57,11.36,10,88,-0.40,2014
165,165,David Hearn,97,11.24,20,178,-0.30,2014
166,166,D.H. Lee,54,11.0,11,100,-0.18,2014
167,167,Jerry Kelly,80,10.53,16,152,E,2014
168,168,Jim Furyk,84,10.29,14,136,-0.21,2014
169,169,Graeme McDowell,66,9.38,9,96,-0.11,2014
170,170,David Toms,64,9.17,11,120,-0.73,2014
171,171,Tim Clark,75,8.7,12,138,+0.08,2014
172,172,Chad Collins,78,8.33,12,144,+0.17,2014
173,173,Heath Slocum,71,7.97,11,138,+0.09,2014
174,174,Ken Duke,80,7.14,10,140,-0.20,2014
175,175,Justin Leonard,75,6.52,9,138,-0.33,2014
176,176,Brian Gay,81,4.23,6,142,+0.17,2014
177,177,Mike Weir,69,4.1,5,122,-0.20,2014
1,1,Dustin Johnson,75,81.88,113,138,-0.25,2015
2,2,Jason Day,75,74.31,107,144,-0.34,2015
3,3,Charlie Beljan,76,73.88,99,134,-0.20,2015
4,4,J.B. Holmes,89,71.43,110,154,-0.24,2015
5,5,Adam Scott,51,69.32,61,88,-0.21,2015
6,6,Bubba Watson,71,68.75,88,128,-0.36,2015
7,7,Patrick Rodgers,57,68.27,71,104,-0.15,2015
8,8,Tony Finau,106,66.02,136,206,-0.38,2015
9,9,Brooks Koepka,84,64.74,101,156,-0.27,2015
10,10,Jason Kokrak,88,64.2,113,176,-0.25,2015
11,11,Keegan Bradley,87,62.34,96,154,-0.40,2015
12,12,Justin Thomas,106,61.17,126,206,-0.32,2015
13,13,Gary Woodland,81,61.11,77,126,-0.25,2015
14,14,Charles Howell III,105,59.62,124,208,-0.32,2015
15,15,Brendan Steele,88,58.43,97,166,-0.30,2015
16,16,Robert Garrigus,70,57.81,74,128,-0.11,2015
17,17,Steven Bowditch,103,57.29,110,192,-0.26,2015
18,18,Ryan Palmer,80,56.43,79,140,-0.33,2015
T19,T19,Graham DeLaet,65,54.84,68,124,-0.37,2015
T19,T19,Justin Rose,69,54.84,68,124,-0.26,2015
21,21,Jhonattan Vegas,90,53.8,85,158,-0.38,2015
22,22,Daniel Berger,97,53.19,100,188,-0.34,2015
23,23,Jimmy Walker,89,52.53,83,158,-0.13,2015
24,24,Harris English,105,51.01,101,198,-0.28,2015
T25,T25,Ángel Cabrera,53,50.94,54,106,-0.30,2015
T25,T25,Charl Schwartzel,67,50.94,54,106,-0.26,2015
27,27,Hudson Swafford,97,49.46,91,184,-0.42,2015
28,28,Phil Mickelson,70,49.29,69,140,-0.30,2015
29,29,Martin Flores,95,48.86,86,176,-0.20,2015
30,30,Martin Laird,77,48.68,74,152,-0.22,2015
31,31,Carlos Ortiz,100,47.78,86,180,-0.27,2015
32,32,Lee Westwood,56,45.45,40,88,-0.23,2015
33,33,Aaron Baddeley,76,45.21,66,146,-0.33,2015
34,34,Scott Piercy,90,45.0,81,180,-0.40,2015
35,35,Lucas Glover,79,44.94,71,158,-0.32,2015
36,36,Charley Hoffman,97,44.51,81,182,-0.17,2015
37,37,Will Wilcox,58,43.62,41,94,-0.07,2015
38,38,Matt Jones,89,43.33,65,150,-0.38,2015
39,39,Morgan Hoffmann,85,41.88,67,160,-0.28,2015
40,40,Marc Leishman,74,41.8,51,122,-0.24,2015
41,41,Sergio Garcia,59,41.67,40,96,-0.28,2015
42,42,Shawn Stefani,94,41.49,78,188,-0.42,2015
43,43,Sean O'Hair,86,41.28,71,172,-0.15,2015
44,44,Derek Ernst,75,41.18,56,136,-0.20,2015
T45,T45,Hunter Mahan,88,40.91,63,154,-0.38,2015
T45,T45,Robert Streb,110,40.91,90,220,-0.29,2015
T45,T45,Nick Watney,91,40.91,72,176,-0.28,2015
48,48,Andres Romero,69,40.77,53,130,-0.28,2015
49,49,Roger Sloan,56,40.2,41,102,-0.17,2015
50,50,Henrik Stenson,63,40.18,45,112,-0.49,2015
51,51,Rickie Fowler,76,39.71,54,136,-0.20,2015
52,52,Russell Henley,87,39.61,61,154,-0.07,2015
53,53,Scott Stallings,60,39.42,41,104,-0.32,2015
54,54,Andres Gonzales,90,39.41,67,170,-0.43,2015
55,55,Davis Love III,51,39.36,37,94,-0.11,2015
56,56,Paul Casey,87,39.1,61,156,-0.34,2015
57,57,Seung-Yul Noh,65,38.52,47,122,-0.34,2015
58,58,Alex Prugh,84,37.97,60,158,-0.33,2015
59,59,Hideki Matsuyama,95,37.95,63,166,-0.33,2015
60,60,Retief Goosen,81,37.67,55,146,-0.20,2015
61,61,Louis Oosthuizen,68,37.29,44,118,-0.30,2015
62,62,Kevin Chappell,86,37.2,61,164,-0.25,2015
63,63,Stewart Cink,77,36.99,54,146,-0.22,2015
64,64,James Hahn,94,36.78,64,174,-0.17,2015
65,65,Jim Herman,88,36.05,62,172,-0.10,2015
66,66,Padraig Harrington,60,35.83,43,120,-0.12,2015
67,67,Camilo Villegas,83,35.54,59,166,-0.31,2015
68,68,Greg Owen,58,35.45,39,110,-0.13,2015
69,69,Patrick Reed,103,35.33,65,184,-0.15,2015
70,70,Sam Saunders,83,35.26,55,156,-0.24,2015
71,71,Billy Horschel,99,35.23,62,176,-0.15,2015
72,72,Byron Smith,59,35.19,38,108,-0.39,2015
73,73,Carl Pettersson,106,34.95,72,206,-0.29,2015
74,74,Max Homa,78,34.25,50,146,-0.14,2015
75,75,Geoff Ogilvy,50,34.04,32,94,-0.19,2015
76,76,J.J. Henry,94,33.71,60,178,-0.23,2015
77,77,Johnson Wagner,68,33.58,45,134,-0.31,2015
78,78,Scott Pinckney,88,32.94,56,170,-0.32,2015
79,79,Jordan Spieth,91,32.72,53,162,-0.17,2015
80,80,Gonzalo Fernandez-Castaño,81,32.43,48,148,-0.35,2015
81,81,Tom Hoge,83,31.41,49,156,-0.37,2015
82,82,Nick Taylor,91,30.77,56,182,-0.23,2015
83,83,Jamie Donaldson,50,30.23,26,86,-0.08,2015
84,84,Boo Weekley,79,30.14,44,146,-0.61,2015
85,85,Jason Dufner,76,29.84,37,124,-0.32,2015
86,86,Jason Gore,76,28.87,41,142,-0.41,2015
87,87,Bill Haas,89,28.66,47,164,-0.19,2015
88,88,Kevin Kisner,104,27.4,57,208,-0.26,2015
89,89,Ernie Els,57,27.36,29,106,-0.03,2015
90,90,Chesson Hadley,101,27.32,53,194,-0.40,2015
91,91,David Lingmerth,90,27.06,46,170,-0.22,2015
92,92,Cameron Percy,72,26.87,36,134,-0.39,2015
93,93,Erik Compton,86,26.51,44,166,-0.34,2015
T94,T94,Sangmoon Bae,98,26.34,49,186,-0.29,2015
T94,T94,George McNeill,93,26.34,49,186,-0.45,2015
96,96,Eric Axley,57,25.93,28,108,-0.32,2015
97,97,John Senden,80,25.78,33,128,-0.39,2015
98,98,Webb Simpson,81,25.64,40,156,-0.15,2015
99,99,Brandt Snedeker,98,25.57,45,176,-0.16,2015
100,100,Michael Putnam,87,25.32,40,158,-0.20,2015
101,101,Kyle Reifers,96,25.28,45,178,-0.33,2015
102,102,Matt Kuchar,97,25.27,46,182,-0.39,2015
103,103,Matt Every,73,25.0,31,124,-0.10,2015
104,104,Kevin Streelman,95,24.7,41,166,-0.20,2015
105,105,Vijay Singh,78,24.67,37,150,-0.19,2015
106,106,Tyrone Van Aswegen,58,24.53,26,106,-0.08,2015
T107,T107,Ryo Ishikawa,90,24.4,41,168,-0.17,2015
T107,T107,John Peterson,84,24.4,41,168,-0.32,2015
109,109,Derek Fathauer,81,24.34,37,152,-0.30,2015
110,110,Steve Wheatcroft,87,24.07,39,162,-0.36,2015
111,111,Nicholas Thompson,90,24.05,38,158,-0.24,2015
112,112,Brice Garnett,81,24.0,36,150,-0.11,2015
113,113,Adam Hadwin,95,23.89,43,180,-0.21,2015
114,114,Michael Thompson,83,23.72,37,156,-0.11,2015
115,115,Blayne Barber,76,23.65,35,148,-0.20,2015
116,116,Scott Brown,97,23.4,44,188,-0.39,2015
117,117,Bo Van Pelt,81,23.38,36,154,E,2015
118,118,Ben Martin,93,22.78,41,180,-0.24,2015
119,119,Brian Harman,90,22.41,39,174,-0.46,2015
120,120,Rory Sabbatini,81,22.3,33,148,-0.45,2015
121,121,Oscar Fraustro,58,21.7,23,106,-0.22,2015
122,122,Jonathan Byrd,69,21.55,25,116,-0.20,2015
123,123,Jonas Blixt,78,21.43,27,126,-0.30,2015
124,124,Ian Poulter,68,21.31,26,122,-0.15,2015
125,125,Chad Campbell,97,20.83,40,192,-0.43,2015
126,126,Jeff Overton,94,20.59,35,170,-0.40,2015
127,127,Jonathan Randolph,72,20.15,27,134,-0.48,2015
128,128,Andrew Svoboda,80,20.13,31,154,-0.45,2015
129,129,Francesco Molinari,56,19.81,21,106,E,2015
130,130,John Merrick,78,19.72,28,142,-0.39,2015
131,131,Troy Merritt,91,19.54,34,174,-0.18,2015
132,132,Ryan Moore,81,19.29,27,140,-0.30,2015
133,133,Russell Knox,96,19.27,37,192,-0.35,2015
134,134,Ricky Barnes,82,19.18,28,146,-0.39,2015
135,135,Chris Kirk,76,18.84,26,138,-0.69,2015
136,136,Jim Furyk,71,18.75,24,128,-0.50,2015
137,137,Pat Perez,96,18.48,34,184,-0.50,2015
138,138,Zach Johnson,90,18.45,31,168,-0.32,2015
139,139,Bill Lunde,50,17.78,16,90,-0.19,2015
140,140,Danny Lee,120,17.7,40,226,-0.25,2015
141,141,Spencer Levin,99,17.55,33,188,-0.33,2015
142,142,Alex Cejka,94,17.39,32,184,-0.47,2015
143,143,Chez Reavie,56,17.27,19,110,-0.26,2015
144,144,Brendon de Jonge,106,17.17,34,198,-0.26,2015
145,145,Whee Kim,71,16.42,22,134,-0.32,2015
146,146,Daniel Summerhays,101,16.34,33,202,-0.48,2015
147,147,Fabián Gómez,83,15.85,26,164,-0.50,2015
T148,T148,Chris Stroud,84,15.63,25,160,-0.36,2015
T148,T148,Cameron Tringale,96,15.63,30,192,-0.47,2015
150,150,Kevin Na,98,15.52,27,174,-0.30,2015
151,151,Andrew Putnam,68,15.08,19,126,-0.42,2015
152,152,Luke Guthrie,84,14.67,22,150,-0.05,2015
153,153,Jim Renner,68,14.62,19,130,+0.05,2015
154,154,D.A. Points,72,14.49,20,138,-0.30,2015
155,155,John Huh,102,13.78,27,196,-0.33,2015
156,156,William McGirt,103,13.59,28,206,-0.18,2015
157,157,Robert Allenby,63,12.96,14,108,-0.07,2015
158,158,Roberto Castro,54,12.5,11,88,-0.73,2015
159,159,Ken Duke,93,12.21,21,172,-0.14,2015
160,160,Sung Joon Park,79,12.16,18,148,-0.22,2015
161,161,Tim Wilkinson,73,12.12,16,132,-0.31,2015
162,162,Scott Langley,94,12.09,22,182,-0.18,2015
163,163,Luke Donald,71,11.94,16,134,-0.13,2015
164,164,Bryce Molder,91,11.9,20,168,-0.30,2015
165,165,Jerry Kelly,79,11.84,18,152,-0.17,2015
166,166,Greg Chalmers,58,11.7,11,94,-0.18,2015
167,167,Brian Stuard,97,11.36,20,176,-0.35,2015
168,168,Jon Curran,83,11.18,17,152,-0.65,2015
169,169,David Hearn,97,10.31,20,194,-0.25,2015
170,170,Mark Wilson,89,10.0,17,170,-0.59,2015
171,171,K.J. Choi,66,9.48,11,116,-0.09,2015
172,172,Chad Collins,79,9.21,14,152,-0.71,2015
173,173,Colt Knost,90,9.04,15,166,-0.40,2015
174,174,Jason Bohn,95,8.95,17,190,-0.47,2015
175,175,Brendon Todd,96,8.52,15,176,-0.20,2015
176,176,Heath Slocum,57,8.33,8,96,-0.38,2015
177,177,Steven Alker,62,7.63,9,118,-0.33,2015
178,178,Zac Blair,108,7.43,15,202,-0.40,2015
179,179,Brian Davis,86,7.05,11,156,-0.09,2015
180,180,Mark Hubbard,79,6.08,9,148,-0.33,2015
181,181,Justin Leonard,61,5.74,7,122,-0.71,2015
182,182,Billy Hurley III,83,4.11,6,146,-0.33,2015
183,183,Ben Crane,62,3.51,4,114,-0.75,2015
184,184,David Toms,62,2.59,3,116,E,2015
T1,T1,Tony Finau,95,73.08,133,182,-0.28,2016
T1,T1,Dustin Johnson,87,73.08,114,156,-0.23,2016
3,3,J.B. Holmes,77,72.3,107,148,-0.08,2016
4,4,Andrew Loupe,75,70.67,106,150,-0.17,2016
5,5,Bubba Watson,72,70.0,91,130,-0.26,2016
6,6,Jason Kokrak,89,68.54,122,178,-0.20,2016
7,7,Luke List,79,66.23,102,154,-0.32,2016
8,8,Brendan Steele,88,64.38,103,160,-0.25,2016
9,9,Rory McIlroy,69,62.93,73,116,-0.30,2016
10,10,Gary Woodland,95,62.65,104,166,-0.32,2016
11,11,Jamie Lovemark,91,62.64,114,182,-0.27,2016
12,12,Hudson Swafford,104,62.5,125,200,-0.21,2016
13,13,Adam Scott,79,60.29,82,136,-0.22,2016
14,14,Robert Garrigus,69,59.23,77,130,-0.32,2016
15,15,Ryan Palmer,86,58.72,101,172,-0.40,2016
16,16,Jason Day,76,57.25,79,138,-0.25,2016
17,17,Jhonattan Vegas,97,56.99,106,186,-0.22,2016
18,18,Charles Howell III,91,56.9,99,174,-0.27,2016
19,19,Justin Thomas,99,56.82,100,176,-0.08,2016
20,20,Justin Rose,65,56.45,70,124,-0.21,2016
21,21,Sean O'Hair,89,55.06,98,178,-0.18,2016
22,22,Brooks Koepka,75,52.86,74,140,-0.12,2016
23,23,Sergio Garcia,54,52.33,45,86,-0.16,2016
24,24,Rickie Fowler,80,51.37,75,146,-0.25,2016
25,25,Patrick Rodgers,89,51.18,87,170,-0.17,2016
26,26,Harris English,97,51.12,91,178,-0.27,2016
27,27,Jimmy Walker,85,50.61,83,164,-0.35,2016
28,28,Greg Owen,85,49.35,76,154,-0.09,2016
29,29,Graham DeLaet,70,48.48,64,132,-0.17,2016
30,30,Lucas Glover,75,48.0,72,150,-0.32,2016
31,31,Harold Varner III,92,47.83,88,184,-0.36,2016
32,32,Charley Hoffman,91,47.73,84,176,-0.20,2016
33,33,Martin Laird,82,47.44,74,156,-0.18,2016
34,34,Keegan Bradley,82,46.79,73,156,-0.25,2016
T35,T35,Daniel Berger,92,46.3,75,162,-0.35,2016
T35,T35,Scott Pinckney,87,46.3,75,162,-0.29,2016
37,37,Carlos Ortiz,79,45.77,65,142,-0.18,2016
38,38,Smylie Kaufman,91,45.45,80,176,-0.20,2016
39,39,Stewart Cink,61,44.74,51,114,-0.33,2016
40,40,Shane Lowry,57,44.0,44,100,-0.02,2016
41,41,Charl Schwartzel,73,43.94,58,132,-0.16,2016
42,42,Seung-Yul Noh,85,43.83,71,162,-0.32,2016
43,43,Scott Piercy,87,43.42,66,152,-0.32,2016
44,44,Kevin Chappell,93,42.7,76,178,-0.33,2016
45,45,Rhein Gibson,58,42.59,46,108,-0.24,2016
46,46,Paul Casey,77,41.67,55,132,-0.29,2016
47,47,Branden Grace,63,41.35,43,104,-0.14,2016
T48,T48,Andres Gonzales,80,40.38,63,156,-0.35,2016
T48,T48,Marc Leishman,89,40.38,63,156,-0.33,2016
50,50,Chesson Hadley,81,40.0,60,150,-0.07,2016
51,51,Jordan Spieth,80,39.58,57,144,-0.35,2016
52,52,Hideki Matsuyama,76,39.55,53,134,-0.13,2016
T53,T53,Russell Henley,76,39.47,60,152,-0.33,2016
T53,T53,Hunter Mahan,61,39.47,45,114,E,2016
55,55,Scott Stallings,74,39.29,55,140,-0.18,2016
56,56,Brett Stegmaier,87,38.82,66,170,-0.29,2016
57,57,Patrick Reed,105,38.71,72,186,-0.19,2016
58,58,Nick Taylor,83,38.67,58,150,-0.36,2016
59,59,Louis Oosthuizen,63,38.46,40,104,-0.23,2016
60,60,Wes Roach,59,38.18,42,110,-0.24,2016
61,61,Derek Ernst,59,37.72,43,114,-0.35,2016
T62,T62,Matt Jones,83,37.5,54,144,-0.13,2016
T62,T62,Phil Mickelson,75,37.5,54,144,-0.35,2016
64,64,Ángel Cabrera,62,37.1,46,124,+0.07,2016
65,65,Billy Horschel,73,36.43,51,140,-0.29,2016
66,66,Robert Streb,87,36.18,55,152,-0.35,2016
67,67,Morgan Hoffmann,71,35.71,45,126,-0.22,2016
68,68,Geoff Ogilvy,63,35.59,42,118,-0.33,2016
69,69,Scott Brown,88,35.12,59,168,-0.27,2016
70,70,Emiliano Grillo,93,34.88,60,172,-0.25,2016
71,71,Brandt Snedeker,93,34.83,62,178,-0.18,2016
T72,T72,Jason Dufner,105,34.69,68,196,-0.24,2016
T72,T72,Andrew Landry,53,34.69,34,98,-0.29,2016
74,74,Anirban Lahiri,72,34.43,42,122,-0.40,2016
75,75,Patton Kizzire,93,33.71,60,178,-0.43,2016
76,76,Steven Bowditch,71,33.33,42,126,-0.26,2016
77,77,Sam Saunders,69,33.08,43,130,-0.23,2016
78,78,Ernie Els,66,33.06,41,124,-0.20,2016
79,79,Sung Kang,89,32.76,57,174,-0.35,2016
80,80,Si Woo Kim,113,32.57,71,218,-0.42,2016
81,81,Steve Marino,72,32.35,44,136,-0.14,2016
82,82,Will Wilcox,67,32.31,42,130,-0.33,2016
83,83,Aaron Baddeley,93,32.02,57,178,-0.21,2016
84,84,James Hahn,85,31.48,51,162,-0.20,2016
85,85,Padraig Harrington,54,31.0,31,100,-0.03,2016
86,86,Michael Thompson,71,30.88,42,136,-0.48,2016
87,87,Shawn Stefani,91,30.46,53,174,-0.21,2016
88,88,Rory Sabbatini,57,30.0,30,100,-0.27,2016
89,89,Bill Haas,86,29.88,49,164,-0.22,2016
90,90,Thomas Aiken,70,29.84,37,124,-0.27,2016
91,91,Bronson Burgoon,83,29.75,47,158,-0.04,2016
92,92,Jonas Blixt,79,28.95,44,152,-0.36,2016
93,93,Jim Herman,93,28.65,51,178,-0.22,2016
T94,T94,Jason Gore,78,27.86,39,140,-0.31,2016
T94,T94,Dawie van der Walt,72,27.86,39,140,-0.36,2016
96,96,Boo Weekley,83,27.71,46,166,-0.28,2016
97,97,Ricky Barnes,97,27.42,51,186,-0.53,2016
T98,T98,Chad Campbell,90,27.33,47,172,-0.26,2016
T98,T98,Kevin Kisner,97,27.33,47,172,-0.30,2016
100,100,Tom Hoge,81,27.27,42,154,-0.19,2016
101,101,Hiroshi Iwata,85,27.22,43,158,-0.33,2016
102,102,Martin Piller,59,27.19,31,114,-0.06,2016
103,103,Blayne Barber,84,26.88,43,160,-0.37,2016
104,104,J.J. Henry,68,26.52,35,132,-0.31,2016
105,105,Camilo Villegas,83,25.95,41,158,-0.12,2016
106,106,Whee Kim,82,25.64,40,156,-0.08,2016
107,107,Brian Harman,104,25.5,51,200,-0.24,2016
108,108,Luke Guthrie,57,25.45,28,110,-0.14,2016
T109,T109,Derek Fathauer,94,25.0,47,188,-0.28,2016
T109,T109,William McGirt,98,25.0,49,196,-0.20,2016
T109,T109,Chez Reavie,90,25.0,43,172,-0.33,2016
T109,T109,John Senden,88,25.0,41,164,-0.27,2016
T109,T109,Vijay Singh,72,25.0,36,144,-0.19,2016
114,114,Henrik Norlander,71,24.63,33,134,-0.30,2016
115,115,Kevin Streelman,82,24.39,40,164,-0.20,2016
116,116,Kyle Stanley,92,24.16,43,178,-0.19,2016
117,117,Erik Compton,65,23.81,30,126,-0.27,2016
118,118,Kelly Kraft,63,23.73,28,118,-0.18,2016
119,119,Adam Hadwin,93,23.66,44,186,-0.43,2016
120,120,Johnson Wagner,86,23.26,40,172,-0.30,2016
121,121,Tyrone Van Aswegen,105,23.04,47,204,-0.36,2016
122,122,Rod Pampling,54,23.0,23,100,-0.09,2016
123,123,Steve Wheatcroft,85,22.84,37,162,-0.38,2016
124,124,Fabián Gómez,82,22.78,36,158,-0.42,2016
125,125,Ryan Moore,86,22.73,35,154,-0.17,2016
126,126,Francesco Molinari,64,22.66,29,128,-0.24,2016
127,127,Russell Knox,92,22.22,36,162,-0.22,2016
128,128,Daniel Summerhays,99,21.43,39,182,-0.28,2016
129,129,Retief Goosen,55,20.91,23,110,-0.26,2016
T130,T130,Danny Lee,93,20.83,35,168,-0.37,2016
T130,T130,Ben Martin,92,20.83,35,168,-0.29,2016
T130,T130,Vaughn Taylor,72,20.83,30,144,-0.17,2016
133,133,Brendon de Jonge,83,20.78,32,154,-0.03,2016
134,134,Webb Simpson,70,20.71,29,140,-0.41,2016
135,135,George McNeill,51,20.59,21,102,-0.38,2016
136,136,Chris Kirk,90,20.37,33,162,-0.24,2016
T137,T137,Will MacKenzie,84,20.0,32,160,-0.41,2016
T137,T137,Jeff Overton,69,20.0,26,130,-0.19,2016
139,139,Cameron Smith,73,19.67,24,122,-0.50,2016
140,140,Matt Kuchar,100,19.27,37,192,-0.54,2016
141,141,Kyle Reifers,115,19.16,41,214,-0.39,2016
142,142,Scott Langley,65,19.05,24,126,-0.08,2016
143,143,Tyler Aldridge,83,18.99,30,158,-0.17,2016
144,144,Michael Kim,100,18.75,36,192,-0.06,2016
145,145,Cameron Tringale,81,18.49,27,146,-0.41,2016
146,146,Chris Stroud,82,18.13,29,160,-0.34,2016
147,147,Freddie Jacobson,86,18.02,31,172,-0.16,2016
148,148,Troy Merritt,77,17.81,26,146,-0.35,2016
149,149,D.A. Points,55,17.65,18,102,-0.39,2016
150,150,David Lingmerth,84,17.12,25,146,-0.20,2016
151,151,Jim Furyk,52,16.35,17,104,-0.41,2016
152,152,John Huh,86,15.88,27,170,-0.37,2016
153,153,Luke Donald,81,15.75,23,146,-0.26,2016
154,154,Robert Allenby,51,15.69,16,102,-0.44,2016
155,155,Roberto Castro,97,14.95,29,194,-0.24,2016
156,156,Spencer Levin,104,14.58,28,192,-0.57,2016
157,157,Brendon Todd,66,14.29,18,126,-0.39,2016
158,158,Dicky Pride,55,14.15,15,106,-0.27,2016
159,159,Stuart Appleby,71,13.77,19,138,-0.21,2016
160,160,David Hearn,95,13.74,25,182,-0.28,2016
161,161,Peter Malnati,85,13.53,23,170,-0.30,2016
162,162,Alex Cejka,71,13.49,17,126,-0.59,2016
163,163,Bryce Molder,80,13.46,21,156,-0.19,2016
164,164,Rob Oppenheim,67,12.7,16,126,-0.31,2016
T165,T165,Abraham Ancer,51,12.5,12,96,+0.17,2016
T165,T165,Tim Wilkinson,72,12.5,17,136,-0.24,2016
167,167,Kevin Na,96,12.35,21,170,-0.62,2016
168,168,Chad Collins,73,12.33,18,146,-0.11,2016
169,169,D.H. Lee,61,12.28,14,114,-0.50,2016
170,170,Brian Stuard,66,12.12,16,132,+0.25,2016
171,171,Ken Duke,58,12.04,13,108,-0.23,2016
172,172,Ben Crane,80,11.81,17,144,-0.18,2016
173,173,Jerry Kelly,76,11.11,16,144,-0.56,2016
174,174,Billy Hurley III,66,10.61,14,132,-0.29,2016
175,175,Graeme McDowell,63,10.0,12,120,-0.17,2016
176,176,Mark Hubbard,101,9.79,19,194,-0.42,2016
177,177,Jason Bohn,67,8.96,12,134,-0.25,2016
178,178,Steve Stricker,53,8.49,9,106,-0.33,2016
179,179,K.J. Choi,73,8.22,12,146,-0.50,2016
180,180,Zach Johnson,90,8.14,14,172,-0.29,2016
181,181,Jon Curran,99,7.89,15,190,-0.27,2016
182,182,Zac Blair,99,6.04,11,182,-0.55,2016
183,183,Mark Wilson,66,5.65,7,124,-0.43,2016
184,184,Colt Knost,90,3.66,6,164,-0.83,2016
185,185,David Toms,62,3.23,4,124,-0.75,2016
1,1,Rory McIlroy,51,76.14,67,88,-0.34,2017
2,2,Ryan Brehm,83,73.38,113,154,-0.23,2017
3,3,Dustin Johnson,77,71.97,95,132,-0.23,2017
4,4,Luke List,102,70.41,138,196,-0.36,2017
5,5,Andrew Loupe,55,69.23,72,104,-0.24,2017
6,6,Brandon Hagy,85,68.83,106,154,-0.22,2017
7,7,Brooks Koepka,88,67.76,103,152,-0.17,2017
8,8,Kevin Tway,96,67.61,119,176,-0.24,2017
9,9,Trey Mullinax,88,66.46,109,164,-0.24,2017
10,10,Patrick Rodgers,76,65.71,92,140,-0.25,2017
11,11,Gary Woodland,94,64.81,105,162,-0.30,2017
12,12,Hudson Swafford,94,63.95,110,172,-0.29,2017
13,13,Justin Thomas,86,62.68,89,142,-0.15,2017
14,14,Jason Kokrak,95,62.64,114,182,-0.09,2017
15,15,Tony Finau,106,62.0,124,200,-0.30,2017
16,16,Kevin Chappell,95,61.59,101,164,-0.11,2017
17,17,Grayson Murray,94,61.11,110,180,-0.34,2017
18,18,Jason Day,71,60.61,80,132,-0.23,2017
19,19,J.B. Holmes,83,60.42,87,144,-0.33,2017
20,20,Jon Rahm,90,60.24,100,166,-0.23,2017
21,21,Matt Jones,64,59.82,67,112,-0.25,2017
22,22,Smylie Kaufman,76,59.7,80,134,-0.25,2017
23,23,Xander Schauffele,96,59.24,109,184,-0.24,2017
24,24,Adam Scott,58,59.0,59,100,-0.29,2017
25,25,Jamie Lovemark,98,58.7,108,184,-0.26,2017
26,26,Byeong Hun An,77,56.25,72,128,-0.18,2017
27,27,Bubba Watson,71,55.93,66,118,-0.24,2017
28,28,Ollie Schniederjans,92,55.75,97,174,-0.28,2017
29,29,Ryan Palmer,61,55.66,59,106,-0.02,2017
30,30,Harris English,84,55.26,84,152,-0.26,2017
31,31,Tag Ridings,67,55.08,65,118,-0.29,2017
32,32,Nick Watney,75,54.35,75,138,-0.20,2017
33,33,Billy Horschel,88,54.07,93,172,-0.29,2017
34,34,Hideki Matsuyama,83,53.68,73,136,-0.22,2017
35,35,Robert Garrigus,78,52.78,76,144,-0.24,2017
T36,T36,Graham DeLaet,82,52.63,80,152,-0.36,2017
T36,T36,Harold Varner III,101,52.63,100,190,-0.16,2017
38,38,Justin Rose,66,51.56,66,128,-0.15,2017
39,39,Jhonattan Vegas,95,50.61,83,164,-0.18,2017
40,40,Bryson DeChambeau,91,49.44,88,178,-0.30,2017
41,41,Seung-Yul Noh,91,49.43,86,174,-0.33,2017
T42,T42,Martin Flores,88,49.38,80,162,-0.19,2017
T42,T42,Seamus Power,86,49.38,79,160,-0.33,2017
44,44,Scott Stallings,81,49.35,76,154,-0.21,2017
45,45,Charl Schwartzel,63,49.11,55,112,-0.20,2017
46,46,Rick Lamb,54,49.0,49,100,-0.04,2017
47,47,Brendan Steele,89,48.75,78,160,-0.29,2017
48,48,Lucas Glover,93,47.78,86,180,-0.27,2017
49,49,Keegan Bradley,104,47.45,93,196,-0.14,2017
50,50,Rickie Fowler,78,47.22,68,144,-0.31,2017
51,51,Andres Gonzales,73,47.1,65,138,-0.17,2017
52,52,Charles Howell III,86,46.79,73,156,-0.45,2017
53,53,Jimmy Walker,68,46.72,57,122,-0.26,2017
54,54,Russell Henley,99,46.39,90,194,-0.19,2017
55,55,Anirban Lahiri,72,46.32,63,136,-0.17,2017
56,56,Charley Hoffman,112,46.3,100,216,-0.19,2017
57,57,Sung Kang,104,45.92,90,196,-0.28,2017
58,58,Patrick Cantlay,52,45.83,44,96,-0.30,2017
59,59,Matt Every,76,45.71,64,140,-0.22,2017
60,60,Shane Lowry,52,45.56,41,90,-0.29,2017
61,61,Sergio Garcia,65,45.37,49,108,-0.10,2017
62,62,Marc Leishman,94,45.35,78,172,-0.22,2017
63,63,Daniel Berger,91,44.87,70,156,-0.31,2017
64,64,Louis Oosthuizen,69,44.83,52,116,-0.12,2017
65,65,Cody Gribble,79,43.51,67,154,-0.24,2017
66,66,Jordan Spieth,85,42.95,67,156,-0.18,2017
67,67,Sebastián Muñoz,51,42.86,42,98,-0.10,2017
68,68,Sean O'Hair,84,42.5,68,160,-0.34,2017
69,69,Martin Laird,83,41.57,69,166,-0.22,2017
70,70,Paul Casey,94,41.46,68,164,-0.25,2017
71,71,Shawn Stefani,72,41.18,56,136,-0.41,2017
72,72,Kyle Stanley,104,41.0,82,200,-0.29,2017
